#NUMBER OF AGES= 1 MAGS= 7
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2457 4.1669E-04 2.1210E-04  -1.90   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: PanSTARRS (AB)
#----------------------------------------------------       
#AGE=12.500 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo open    gp1     rp1     ip1     zp1     yp1     wp1
 169  0.791036  3.7618  3.6699  0.6668  3.0878  3.4136  3.0848  2.9558  2.9227  2.9154  3.1305
 170  0.791315  3.7588  3.6481  0.6767  3.0610  3.3970  3.0599  2.9262  2.8902  2.8810  3.1059
 171  0.791582  3.7560  3.6264  0.6873  3.0328  3.3782  3.0335  2.8953  2.8567  2.8457  3.0796
 172  0.791833  3.7535  3.6051  0.6987  3.0032  3.3572  3.0054  2.8632  2.8222  2.8097  3.0517
 173  0.792070  3.7511  3.5842  0.7105  2.9724  3.3339  2.9760  2.8303  2.7871  2.7731  3.0224
 174  0.792294  3.7491  3.5639  0.7229  2.9404  3.3087  2.9452  2.7964  2.7514  2.7360  2.9918
 175  0.792505  3.7474  3.5442  0.7357  2.9074  3.2819  2.9135  2.7619  2.7151  2.6986  2.9601
 176  0.792706  3.7459  3.5251  0.7489  2.8737  3.2539  2.8809  2.7267  2.6783  2.6608  2.9275
 177  0.792898  3.7445  3.5063  0.7623  2.8395  3.2250  2.8475  2.6909  2.6413  2.6229  2.8943
 178  0.793083  3.7432  3.4878  0.7758  2.8049  3.1952  2.8138  2.6550  2.6040  2.5849  2.8606
 179  0.793261  3.7421  3.4698  0.7896  2.7699  3.1647  2.7796  2.6189  2.5668  2.5469  2.8266
 180  0.793433  3.7411  3.4520  0.8033  2.7348  3.1335  2.7453  2.5828  2.5296  2.5090  2.7923
 181  0.793601  3.7402  3.4344  0.8173  2.6996  3.1019  2.7107  2.5465  2.4924  2.4713  2.7578
 182  0.793755  3.7394  3.4183  0.8304  2.6666  3.0719  2.6783  2.5127  2.4578  2.4362  2.7254
 183  0.793909  3.7386  3.4020  0.8437  2.6331  3.0410  2.6453  2.4786  2.4230  2.4008  2.6925
 184  0.794061  3.7380  3.3858  0.8571  2.5991  3.0095  2.6118  2.4440  2.3876  2.3649  2.6590
 185  0.794212  3.7373  3.3695  0.8709  2.5646  2.9774  2.5778  2.4088  2.3519  2.3287  2.6250
 186  0.794363  3.7366  3.3531  0.8849  2.5297  2.9447  2.5434  2.3734  2.3157  2.2921  2.5905
 187  0.794512  3.7360  3.3366  0.8990  2.4943  2.9114  2.5084  2.3374  2.2792  2.2552  2.5556
 188  0.794660  3.7355  3.3201  0.9133  2.4584  2.8776  2.4729  2.3011  2.2424  2.2179  2.5201
 189  0.794808  3.7349  3.3034  0.9277  2.4222  2.8433  2.4371  2.2644  2.2050  2.1802  2.4842
 190  0.794954  3.7343  3.2866  0.9424  2.3854  2.8084  2.4007  2.2271  2.1672  2.1420  2.4478
 191  0.795099  3.7338  3.2697  0.9573  2.3482  2.7729  2.3638  2.1894  2.1290  2.1034  2.4109
 192  0.795244  3.7333  3.2526  0.9724  2.3104  2.7369  2.3265  2.1513  2.0903  2.0644  2.3736
 193  0.795387  3.7328  3.2354  0.9876  2.2723  2.7004  2.2887  2.1127  2.0513  2.0249  2.3358
 194  0.795528  3.7323  3.2181  1.0031  2.2337  2.6635  2.2504  2.0737  2.0118  1.9851  2.2976
 195  0.795669  3.7318  3.2005  1.0187  2.1946  2.6261  2.2118  2.0343  1.9718  1.9448  2.2589
 196  0.795808  3.7313  3.1829  1.0345  2.1550  2.5880  2.1724  1.9942  1.9313  1.9039  2.2195
 197  0.795945  3.7308  3.1647  1.0507  2.1144  2.5492  2.1322  1.9533  1.8899  1.8621  2.1794
 198  0.796080  3.7303  3.1463  1.0673  2.0731  2.5095  2.0912  1.9115  1.8477  1.8195  2.1384
 199  0.796212  3.7298  3.1276  1.0842  2.0309  2.4690  2.0494  1.8690  1.8046  1.7761  2.0966
 200  0.796342  3.7294  3.1086  1.1013  1.9880  2.4277  2.0069  1.8258  1.7610  1.7321  2.0541
 201  0.796471  3.7289  3.0893  1.1188  1.9445  2.3858  1.9638  1.7818  1.7165  1.6872  2.0109
 202  0.796596  3.7284  3.0698  1.1365  1.9002  2.3432  1.9198  1.7371  1.6714  1.6418  1.9670
 203  0.796719  3.7280  3.0499  1.1544  1.8554  2.2999  1.8754  1.6919  1.6257  1.5956  1.9225
 204  0.796841  3.7275  3.0298  1.1727  1.8098  2.2560  1.8301  1.6460  1.5793  1.5488  1.8773
 205  0.796959  3.7269  3.0095  1.1912  1.7636  2.2115  1.7843  1.5993  1.5321  1.5013  1.8314
 206  0.797076  3.7264  2.9886  1.2099  1.7168  2.1666  1.7379  1.5521  1.4843  1.4532  1.7850
 207  0.797190  3.7259  2.9674  1.2288  1.6694  2.1212  1.6909  1.5042  1.4358  1.4042  1.7380
 208  0.797301  3.7252  2.9459  1.2481  1.6214  2.0754  1.6434  1.4557  1.3867  1.3547  1.6905
 209  0.797410  3.7246  2.9239  1.2675  1.5729  2.0291  1.5953  1.4066  1.3369  1.3044  1.6424
 210  0.797517  3.7240  2.9019  1.2872  1.5236  1.9823  1.5465  1.3568  1.2865  1.2535  1.5936
 211  0.797621  3.7233  2.8791  1.3071  1.4739  1.9355  1.4974  1.3064  1.2354  1.2019  1.5446
 212  0.797723  3.7227  2.8566  1.3273  1.4236  1.8874  1.4475  1.2556  1.1839  1.1499  1.4947
 213  0.797821  3.7220  2.8336  1.3476  1.3728  1.8391  1.3972  1.2041  1.1318  1.0973  1.4444
 214  0.797917  3.7213  2.8103  1.3682  1.3214  1.7905  1.3464  1.1521  1.0790  1.0441  1.3936
 215  0.798010  3.7205  2.7867  1.3890  1.2696  1.7414  1.2951  1.0996  1.0258  0.9903  1.3423
 216  0.798101  3.7199  2.7631  1.4099  1.2172  1.6918  1.2433  1.0466  0.9720  0.9361  1.2905
 217  0.798119  3.7197  2.7581  1.4143  1.2064  1.6816  1.2327  1.0357  0.9609  0.9248  1.2799
 218  0.798137  3.7196  2.7532  1.4186  1.1955  1.6712  1.2219  1.0246  0.9497  0.9135  1.2691
 219  0.798156  3.7195  2.7482  1.4230  1.1846  1.6609  1.2111  1.0136  0.9385  0.9022  1.2583
 220  0.798174  3.7193  2.7433  1.4274  1.1736  1.6506  1.2002  1.0025  0.9273  0.8909  1.2474
 221  0.798192  3.7192  2.7383  1.4318  1.1627  1.6401  1.1894  0.9914  0.9160  0.8794  1.2366
 222  0.798210  3.7190  2.7332  1.4362  1.1516  1.6298  1.1784  0.9802  0.9047  0.8680  1.2256
 223  0.798227  3.7189  2.7282  1.4406  1.1406  1.6192  1.1675  0.9690  0.8933  0.8565  1.2147
 224  0.798245  3.7187  2.7231  1.4451  1.1294  1.6088  1.1566  0.9577  0.8819  0.8449  1.2037
 225  0.798263  3.7186  2.7181  1.4496  1.1183  1.5982  1.1455  0.9465  0.8705  0.8335  1.1927
 226  0.798281  3.7184  2.7131  1.4540  1.1071  1.5875  1.1344  0.9351  0.8590  0.8219  1.1816
 227  0.798446  3.7169  2.6630  1.4981  0.9973  1.4839  1.0258  0.8238  0.7460  0.7077  1.0730
 228  0.798606  3.7152  2.6099  1.5447  0.8812  1.3748  0.9112  0.7063  0.6267  0.5872  0.9584
 229  0.798748  3.7136  2.5583  1.5900  0.7683  1.2687  0.7997  0.5919  0.5104  0.4697  0.8468
 230  0.798877  3.7120  2.5072  1.6348  0.6567  1.1638  0.6893  0.4785  0.3954  0.3535  0.7365
 231  0.799002  3.7102  2.4530  1.6818  0.5398  1.0551  0.5741  0.3600  0.2747  0.2314  0.6213
 232  0.799111  3.7082  2.3991  1.7278  0.4259  0.9501  0.4619  0.2440  0.1565  0.1117  0.5091
 233  0.799212  3.7062  2.3440  1.7750  0.3091  0.8425  0.3470  0.1252  0.0355 -0.0109  0.3941
 234  0.799302  3.7043  2.2929  1.8185  0.2011  0.7432  0.2407  0.0154 -0.0764 -0.1244  0.2878
 235  0.799384  3.7025  2.2426  1.8615  0.0948  0.6454  0.1362 -0.0928 -0.1867 -0.2361  0.1832
 236  0.799462  3.7006  2.1923  1.9044 -0.0112  0.5482  0.0319 -0.2007 -0.2967 -0.3476  0.0790
 237  0.799532  3.6989  2.1459  1.9441 -0.1093  0.4583 -0.0646 -0.3005 -0.3985 -0.4508 -0.0176
 238  0.799596  3.6976  2.1069  1.9777 -0.1923  0.3817 -0.1463 -0.3849 -0.4844 -0.5378 -0.0993
 239  0.799657  3.6961  2.0661  2.0126 -0.2787  0.3026 -0.2313 -0.4727 -0.5741 -0.6286 -0.1842
